name,neighbourhood_name,latitude,longitude,room_type,bathrooms,bedrooms,price,last_review_date,review_scores_rating,country,city,insert_date
Plaza de la Merced junto casa natal Picasso,Centro,"36,72482","-4,41716",Entire home/apt,"2,0","2,0","90,0",2019-11-12,"90,0",España,Malaga,2019-11-30
Beautiful and spacious flat in the city centre.,El raval,"41,37683419901914","2,169033226379332",Entire home/apt,"1,0","2,0","180,0",2017-03-03,"85,0",España,Barcelona,2017-05-07
Casa del Port,Roses,"42,25174","3,1839",Entire home/apt,"2,0","2,0","69,0",2019-09-10,"97,0",España,Girona,2019-09-30
Fantastic renewed apartment in Chamberi,Gaztambide,"40,43205951361414","-3,7126699508229617",Entire home/apt,"2,0","3,0","200,0",2017-03-12,"90,0",España,Madrid,2017-04-08
Cozy Studio in Delicias neighbourhood,Delicias,"40,39813","-3,69455",Entire home/apt,"1,0","1,0","60,0",2019-08-31,"87,0",España,Madrid,2019-10-16
*Heart of Gràcia 6pax Wifi*,La vila de gràcia,"41,40304886933584","2,159964060799912",Entire home/apt,"1,0","3,0","146,0",2018-08-15,"94,0",España,Barcelona,2018-09-11
Centric Apartment Barcelona-El Born,"Sant pere, santa caterina i la ribera","41,38667259457057","2,1818682500935376",Entire home/apt,"1,0","1,0","89,0",2017-04-30,"93,0",España,Barcelona,2017-05-07
BARCELONA | LUMINOUS ATTIC WITH SUNNY TERRACE,La dreta de l'eixample,"41,3903","2,16526",Entire home/apt,"1,0","1,0","328,0",2020-03-19,"98,0",España,Barcelona,2020-06-13
Preciosa suite en el Born,"Sant pere, santa caterina i la ribera","41,38211","2,18161",Private room,"1,0","1,0","120,0",2019-08-02,"97,0",España,Barcelona,2019-08-12
Big bedroom with huge terrasse,El raval,"41,38083474932612","2,163849235105784",Private room,"1,0","1,0","49,0",2015-09-21,"90,0",España,Barcelona,2018-09-11
MALAGA CENTER DE LUXE FLAT,Centro,"36,72908","-4,41146",Entire home/apt,"1,0","2,0",nan,2019-08-18,"91,0",España,Malaga,2020-10-30
Room en Barcelona,Les roquetes,"41,44747977346072","2,179576804363773",Private room,"1,0","1,0","30,0",2018-05-10,"84,0",España,Barcelona,2018-05-14
Green Double Room Rambla Catalunya,La vila de gràcia,"41,39863","2,15832",Private room,"1,0","1,0","20,0",2019-09-10,"78,0",España,Barcelona,2019-09-17
ANTILLAS 2-A FAMOUS RESORT FENALS CLOSE BEACH,Lloret de mar,"41,69673","2,83093",Entire home/apt,"1,0","1,0","48,0",2018-09-30,"80,0",España,Girona,2019-11-30
Habitación en piso con excelente ubicación y vista,El poble sec,"41,37393","2,15616",Private room,"1,0","1,0","25,0",2018-05-01,"89,0",España,Barcelona,2019-03-08
Design apartment in the heart of Ses Salines,Ses salines,"39,3486","3,053",Entire home/apt,"1,0","1,0","150,0",2020-11-06,"100,0",España,Mallorca,2021-02-11
Habitación doble en piso compartido solo mujeres,Berruguete,"40,4593","-3,70148",Private room,"1,0","1,0","22,0",2019-10-15,"80,0",España,Madrid,2020-10-17
¡Ático low-cost en el Born!,"Sant pere, santa caterina i la ribera","41,386251264644784","2,179878000571245",Entire home/apt,"1,0","1,0","35,0",2016-10-23,"88,0",España,Barcelona,2017-02-09
LUMINOSO UNICO VISTAS PLAZA MAYOR 2DORM  2A/C,Sol,"40,41388","-3,70805",Entire home/apt,"1,0","2,0","109,0",2020-08-23,"98,0",España,Madrid,2021-02-09
The best value for money Bcn,El parc i la llacuna del poblenou,"41,39053019330528","2,185524174725616",Private room,"1,0","1,0","54,0",2017-09-30,"93,0",España,Barcelona,2017-10-07
Ideal para descansar,Butarque,"40,35397","-3,68083",Private room,"2,0","1,0","15,0",2019-06-01,"97,0",España,Madrid,2019-06-07
APARTAMENTO ACOGEDOR DE DISEÑO CENTRO HISTÓRICO 5,El carme,"39,4799","-0,37948",Entire home/apt,"1,0","0,0","59,0",2020-01-13,"85,0",España,Valencia,2020-01-31
Sunny room in the heart of born,"Sant pere, santa caterina i la ribera","41,38241","2,18266",Private room,"1,0","1,0","40,0",2019-10-30,"96,0",España,Barcelona,2019-11-09
Gran Via Sol Montera I,Sol,"40,41906379923706","-3,701025141636322",Entire home/apt,"1,0","1,0","80,0",2015-07-29,"97,0",España,Madrid,2017-04-08
APARTAMENTOS AQUARIUM.  BIG TERRACE WITH BARBECUE.,Roses,"42,26613","3,15333",Entire home/apt,"1,0","1,0","50,0",2019-08-17,"89,0",España,Girona,2020-04-30
Nice and Crazy People ♥,La sagrada família,"41,403","2,17586",Private room,"1,0","1,0","35,0",2020-01-29,"89,0",España,Barcelona,2020-03-16
SPECIAL OFFER 13€ :O!!!,"Pedro salvador, las palmeritas","37,35413","-5,97708",Private room,"2,0","1,0","21,0",2019-01-11,"99,0",España,Sevilla,2019-02-18
